match_id,home_big_chances_scored,away_big_chances_scored,home_offsides,away_offsides,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_touches_in_penalty_area,away_touches_in_penalty_area,home_fouled_in_final_third,away_fouled_in_final_third
12437045,1,1,2,1,0,2,1,0,31,24,0,2
12437046,1,0,4,1,0,2,,,24,25,3,1
12437050,2,1,3,3,2,4,0,3,30,33,2,3
12437040,2,2,2,1,,,0,1,33,27,3,2
12437618,3,0,2,2,,,1,0,12,24,2,0
12437607,1,1,3,3,4,0,,,30,8,6,1
12437613,,,3,1,4,1,1,0,31,24,1,1
12437625,,,5,0,2,1,,,39,14,5,1
12437611,,,1,4,1,0,,,10,30,0,1
12499340,3,0,1,0,2,0,,,39,15,0,1
12499341,1,0,0,1,0,1,1,0,22,13,3,2
12499339,2,2,,,1,1,2,1,28,21,4,1
12499338,4,0,2,2,1,0,,,29,23,2,3
12499737,0,2,3,3,1,4,1,4,7,37,1,5
12499734,1,1,4,1,3,0,,,16,15,0,3
12499720,,,,,3,3,,,20,14,3,1
12451054,2,1,2,4,2,1,2,0,35,22,5,2
12451055,0,3,0,1,0,2,0,3,7,35,3,1
12451051,1,1,2,1,2,0,4,1,39,24,1,2
12451056,3,0,0,2,0,1,,,20,24,5,1
12451053,0,2,2,8,1,5,0,2,9,38,1,2
12514052,2,0,2,2,2,0,,,41,7,4,1
12514051,2,0,5,3,2,0,2,0,65,2,2,1
12514055,2,1,1,2,0,2,,,14,24,1,5
12514057,0,4,,,0,1,0,3,13,33,0,3
12448395,1,0,2,4,1,1,,,32,15,2,1
12448396,1,0,1,1,3,1,1,0,21,5,2,2
12448394,1,2,,,,,,,26,16,3,0
12117282,0,1,1,5,0,1,,,15,14,1,3
12117278,2,1,2,0,1,4,0,1,19,18,2,3
12530882,1,2,1,4,1,0,0,2,20,20,2,2
12530878,2,0,0,2,2,0,2,0,35,11,0,1
12530874,1,1,1,0,2,0,,,35,12,3,3
12530880,1,0,1,3,2,1,3,1,27,15,5,3
12421106,2,1,5,1,3,1,1,0,38,11,2,1
12421110,3,0,1,2,1,0,,,20,27,1,3
12421108,0,2,0,2,2,1,,,16,28,3,4
12421107,1,2,2,2,3,1,0,1,37,23,3,0
12568248,1,0,1,4,3,2,1,0,13,40,1,3
12568249,1,0,0,1,1,0,3,0,36,12,6,1
12568234,0,1,4,6,2,1,1,0,37,19,6,2
12568235,0,1,2,1,2,1,0,2,15,21,2,5
12477081,1,1,3,1,3,1,0,2,19,29,3,3
12477080,0,2,5,1,0,1,0,1,16,34,2,1
12477079,2,1,2,3,2,1,0,1,30,21,3,1
11937370,2,0,0,2,,,,,14,29,1,2
11937373,2,1,1,4,1,1,,,10,15,2,1
11937368,1,1,3,1,5,2,1,1,36,8,2,3
11937367,,,1,0,6,0,1,0,46,11,2,2
11937369,1,0,2,3,2,1,,,24,13,1,1
11937364,1,0,4,0,1,3,,,18,23,4,2
11937363,,,4,1,1,1,0,2,21,19,2,4
12420572,0,2,4,1,0,2,1,0,30,22,4,1
12420577,1,4,2,0,0,2,,,15,27,3,3
12420575,1,0,2,2,3,2,,,33,18,0,2
12404865,2,1,1,1,3,0,4,2,30,11,2,2
12404864,,,0,2,0,1,1,0,18,27,4,1
12420443,0,2,8,2,2,2,0,1,11,23,4,3
12420434,1,1,1,1,1,0,,,25,8,2,1
13010882,,,4,0,2,2,1,0,40,20,1,3
13022403,1,0,1,2,1,1,0,1,23,18,6,3
13010885,1,0,4,1,5,0,1,0,36,18,2,3
13010890,,,1,0,1,1,1,1,39,11,4,2
12468905,0,3,2,1,2,2,4,0,21,38,1,6
12467660,1,0,2,1,1,0,,,20,29,3,1
