match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
12437045,12,13,16,6,52,50,23,15,67%,62%,,,,
12437046,32,19,11,10,68,58,33,22,59%,74%,,,,
12437050,11,19,12,6,57,48,40,27,45%,58%,,,,
12437040,17,16,7,5,42,35,24,21,65%,56%,,,,
12437618,17,13,4,3,63,54,23,15,65%,77%,,,,
12437607,12,20,6,9,43,35,14,39,50%,65%,,,,
12437613,21,9,17,3,64,52,40,13,57%,89%,,,,
12437625,14,13,3,6,59,50,9,39,79%,69%,,,,
12437611,20,18,12,6,51,56,32,13,50%,56%,,,,
12499340,13,19,8,4,59,37,21,26,54%,58%,,,,
12499341,20,10,11,4,43,36,18,24,65%,60%,,,,
12499339,7,6,6,5,32,30,13,17,57%,67%,,,,
12499338,18,8,4,4,48,34,21,11,50%,100%,1,1,,
12499737,17,9,8,4,44,55,18,28,59%,89%,,,,
12499734,19,15,16,13,70,42,12,23,53%,40%,,,,
12499720,23,23,4,10,63,55,15,20,43%,57%,,,,
12451054,20,21,8,14,47,57,23,26,65%,62%,,,,
12451055,14,16,8,8,50,52,21,24,64%,63%,,,,
12451051,28,26,17,6,69,56,28,21,71%,85%,,,,
12451056,11,21,6,6,50,43,17,14,64%,48%,,,,
12451053,16,21,9,11,51,67,10,1,69%,67%,1,1,,
12514052,13,14,8,12,46,42,12,28,85%,50%,,,,
12514051,17,25,12,14,55,48,5,34,76%,36%,,,,
12514055,23,16,10,7,53,49,19,15,74%,63%,,,,
12514057,20,16,5,6,52,59,14,10,70%,69%,,,,
12448395,18,8,9,9,50,35,27,44,67%,38%,,,,
12448396,10,17,6,8,49,41,5,22,40%,24%,,,,
12448394,12,8,9,3,42,48,16,15,50%,50%,,,,
12117282,14,21,10,8,40,45,8,26,57%,62%,,,,
12117278,27,23,18,8,57,53,12,16,85%,65%,,,,
