match_id,home_dispossessed,away_dispossessed,home_duels,away_duels,home_ground_duels,away_ground_duels,home_aerial_duels,away_aerial_duels,home_dribbles,away_dribbles
12437045,6,8,51%,49%,34/66 (52%),32/66 (48%),13/27 (48%),14/27 (52%),7/14 (50%),6/10 (60%)
12437046,12,16,54%,46%,48/92 (52%),44/92 (48%),21/36 (58%),15/36 (42%),4/11 (36%),9/25 (36%)
12437050,13,4,47%,53%,27/58 (47%),31/58 (53%),13/28 (46%),15/28 (54%),10/16 (63%),7/14 (50%)
12437040,10,13,52%,48%,37/76 (49%),39/76 (51%),18/29 (62%),11/29 (38%),6/12 (50%),9/13 (69%)
12437618,7,6,51%,49%,39/73 (53%),34/73 (47%),10/24 (42%),14/24 (58%),5/11 (45%),7/18 (39%)
12437607,11,4,52%,48%,36/74 (49%),38/74 (51%),28/49 (57%),21/49 (43%),6/15 (40%),2/10 (20%)
12437613,2,10,58%,42%,39/61 (64%),22/61 (36%),12/27 (44%),15/27 (56%),14/21 (67%),5/16 (31%)
12437625,5,7,51%,49%,34/62 (55%),28/62 (45%),12/28 (43%),16/28 (57%),7/15 (47%),10/17 (59%)
12437611,7,9,58%,42%,37/66 (56%),29/66 (44%),23/37 (62%),14/37 (38%),5/16 (31%),5/16 (31%)
12499340,13,8,47%,53%,29/66 (44%),37/66 (56%),18/34 (53%),16/34 (47%),10/16 (63%),7/12 (58%)
12499341,5,10,53%,47%,43/77 (56%),34/77 (44%),22/45 (49%),23/45 (51%),8/13 (62%),7/17 (41%)
12499339,4,3,59%,41%,26/45 (58%),19/45 (42%),16/26 (62%),10/26 (38%),3/5 (60%),4/8 (50%)
12499338,2,13,60%,40%,41/67 (61%),26/67 (39%),6/11 (55%),5/11 (45%),12/18 (67%),5/10 (50%)
12499737,7,3,38%,62%,26/65 (40%),39/65 (60%),10/29 (34%),19/29 (66%),3/5 (60%),15/29 (52%)
12499734,6,7,48%,52%,33/63 (52%),30/63 (48%),14/35 (40%),21/35 (60%),8/17 (47%),4/16 (25%)
12499720,15,13,54%,46%,52/93 (56%),41/93 (44%),11/23 (48%),12/23 (52%),14/22 (64%),8/18 (44%)
12451054,8,7,54%,46%,40/72 (56%),32/72 (44%),10/20 (50%),10/20 (50%),6/19 (32%),5/18 (28%)
12451055,7,7,56%,44%,41/70 (59%),29/70 (41%),16/31 (52%),15/31 (48%),9/18 (50%),7/14 (50%)
12451051,10,15,52%,48%,55/102 (54%),47/102 (46%),16/34 (47%),18/34 (53%),16/32 (50%),5/18 (28%)
12451056,9,5,55%,45%,38/70 (54%),32/70 (46%),15/27 (56%),12/27 (44%),11/23 (48%),1/7 (14%)
12451053,12,8,51%,49%,31/60 (52%),29/60 (48%),5/11 (45%),6/11 (55%),9/18 (50%),5/13 (38%)
12514052,7,4,59%,41%,40/73 (55%),33/73 (45%),21/31 (68%),10/31 (32%),15/22 (68%),7/16 (44%)
12514051,10,8,48%,52%,35/80 (44%),45/80 (56%),8/10 (80%),2/10 (20%),9/24 (38%),8/17 (47%)
12514055,9,11,58%,42%,49/87 (56%),38/87 (44%),12/19 (63%),7/19 (37%),11/18 (61%),5/17 (29%)
12514057,7,7,57%,43%,35/65 (54%),30/65 (46%),17/27 (63%),10/27 (37%),5/14 (36%),6/19 (32%)
12448395,8,13,58%,42%,40/63 (63%),23/63 (37%),12/26 (46%),14/26 (54%),10/10 (100%),6/11 (55%)
12448396,8,7,46%,54%,28/60 (47%),32/60 (53%),9/20 (45%),11/20 (55%),7/16 (44%),6/9 (67%)
12448394,4,6,49%,51%,21/43 (49%),22/43 (51%),13/26 (50%),13/26 (50%),4/8 (50%),5/11 (45%)
12117282,9,8,45%,55%,33/75 (44%),42/75 (56%),9/19 (47%),10/19 (53%),5/17 (29%),8/14 (57%)
12117278,15,11,55%,45%,46/87 (53%),41/87 (47%),19/31 (61%),12/31 (39%),10/18 (56%),7/23 (30%)
12530882,8,11,52%,48%,44/76 (58%),32/76 (42%),3/15 (20%),12/15 (80%),13/24 (54%),5/13 (38%)
12530878,9,10,51%,49%,34/73 (47%),39/73 (53%),16/25 (64%),9/25 (36%),8/16 (50%),8/18 (44%)
12530874,12,5,48%,52%,31/66 (47%),35/66 (53%),18/36 (50%),18/36 (50%),11/17 (65%),4/11 (36%)
12530880,9,14,47%,53%,49/94 (52%),45/94 (48%),13/38 (34%),25/38 (66%),12/19 (63%),13/23 (57%)
12421106,7,7,59%,41%,33/56 (59%),23/56 (41%),9/15 (60%),6/15 (40%),5/8 (63%),5/13 (38%)
12421110,7,11,59%,41%,45/80 (56%),35/80 (44%),13/18 (72%),5/18 (28%),7/10 (70%),10/27 (37%)
12421108,11,14,51%,49%,45/85 (53%),40/85 (47%),16/35 (46%),19/35 (54%),7/18 (39%),6/16 (38%)
12421107,14,17,56%,44%,45/88 (51%),43/88 (49%),27/40 (68%),13/40 (33%),12/21 (57%),11/16 (69%)
12568248,4,6,41%,59%,20/51 (39%),31/51 (61%),20/47 (43%),27/47 (57%),6/12 (50%),11/15 (73%)
12568249,16,9,50%,50%,39/82 (48%),43/82 (52%),14/25 (56%),11/25 (44%),12/20 (60%),8/14 (57%)
12568234,5,6,58%,42%,39/72 (54%),33/72 (46%),14/20 (70%),6/20 (30%),8/14 (57%),10/19 (53%)
12568235,7,8,54%,46%,36/74 (49%),38/74 (51%),31/49 (63%),18/49 (37%),10/15 (67%),9/17 (53%)
12477081,5,9,51%,49%,25/54 (46%),29/54 (54%),21/36 (58%),15/36 (42%),2/11 (18%),4/7 (57%)
12477080,10,7,42%,58%,24/58 (41%),34/58 (59%),15/35 (43%),20/35 (57%),4/13 (31%),5/10 (50%)
12477079,9,12,50%,50%,37/71 (52%),34/71 (48%),21/44 (48%),23/44 (52%),13/28 (46%),3/6 (50%)
11937370,14,8,53%,47%,36/69 (52%),33/69 (48%),17/31 (55%),14/31 (45%),7/10 (70%),10/21 (48%)
11937373,8,17,58%,42%,42/69 (61%),27/69 (39%),12/24 (50%),12/24 (50%),4/11 (36%),7/19 (37%)
11937368,13,2,54%,46%,22/51 (43%),29/51 (57%),28/41 (68%),13/41 (32%),3/9 (33%),2/6 (33%)
11937367,7,10,54%,46%,26/58 (45%),32/58 (55%),32/50 (64%),18/50 (36%),3/11 (27%),4/9 (44%)
11937369,4,11,56%,44%,38/60 (63%),22/60 (37%),14/33 (42%),19/33 (58%),8/17 (47%),1/4 (25%)
11937364,6,11,51%,49%,26/48 (54%),22/48 (46%),21/44 (48%),23/44 (52%),5/12 (42%),3/7 (43%)
11937363,11,9,47%,53%,34/78 (44%),44/78 (56%),16/29 (55%),13/29 (45%),4/9 (44%),12/22 (55%)
12420572,7,6,53%,47%,42/80 (53%),38/80 (48%),13/23 (57%),10/23 (43%),11/21 (52%),9/17 (53%)
12420577,8,10,49%,51%,29/63 (46%),34/63 (54%),14/25 (56%),11/25 (44%),2/8 (25%),9/12 (75%)
