match_id,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_goals_prevented,away_goals_prevented,home_high_claims,away_high_claims,home_big_saves,away_big_saves,home_punches,away_punches
12437045,1,5,8,7,0.17,-0.05,1,2,,,,
12437046,3,5,9,12,0.44,0.52,2,1,,,,
12437050,4,1,7,6,1.00,0.04,1,1,,,,
12437040,2,1,6,9,-0.19,-0.26,,,,,,
12437618,5,1,8,2,1.43,-0.76,,,,,,
12437607,0,4,5,11,-0.01,0.87,,,,,,
12437613,3,3,3,18,0.30,-0.92,,,,,,
12437625,2,9,6,13,-0.26,1.30,,,,,,
12437611,1,1,18,1,0.07,0.28,1,2,,,,
12499340,2,2,5,12,0.13,-0.22,,,,,,
12499341,,,3,11,-1.00,-1.46,,,,,,
12499339,1,5,5,6,-1.54,-0.45,,,1,1,,
12499338,4,6,3,9,-0.29,-0.44,,,,,,
12499737,5,1,9,3,-1.12,0.06,,,,,,
12499734,4,3,3,14,0.79,0.42,,,,,,
12499720,4,3,7,14,0.83,1.06,,,,,,
12451054,3,7,6,7,0.19,0.37,,,1,2,,
12451055,3,2,7,10,-0.75,0.13,,,,,,
12451051,4,7,3,9,-0.66,1.78,,,,,,
12451056,5,2,3,4,0.41,-0.09,,,1,2,,
12451053,6,1,13,5,-0.87,0.09,,,,,,
12514052,2,4,4,11,0.26,1.13,,,,,,
12514051,0,8,4,9,0.00,-1.03,,,,,,
12514055,1,0,7,7,-0.31,-0.21,,,,,,
12514057,2,1,6,4,-1.52,0.13,,,,,,
12448395,1,5,2,14,0.17,-1.69,,,,,,
12448396,2,5,5,9,0.22,0.49,,,,,,
12448394,1,4,7,8,-0.47,0.02,1,1,,,,
12117282,2,5,4,6,-0.09,0.89,,,,,,
12117278,5,5,7,3,0.44,-0.05,2,1,,,1,1
12530882,1,1,7,12,-0.29,-0.18,,,,,,
12530878,1,3,6,13,0.02,-0.56,,,,,,
12530874,3,4,5,5,-0.32,0.76,1,2,,,,
12530880,1,4,6,10,-0.04,0.26,1,2,,,,
12421106,1,7,8,12,-0.07,1.13,,,,,,
12421110,3,2,4,8,0.46,0.38,,,1,1,,
12421108,1,0,8,5,-0.24,0.00,,,,,,
12421107,1,5,5,7,-0.03,-0.23,2,1,,,,
12568248,5,2,18,6,,,,,,,,
12568249,0,4,8,6,,,,,,,,
12568234,3,5,8,7,,,,,,,1,1
12568235,4,3,12,7,,,,,,,,
12477081,1,5,13,5,,,,,,,,
12477080,6,2,10,4,,,,,,,1,1
12477079,2,5,8,6,,,1,2,,,,
11937370,5,1,9,9,0.23,-0.73,,,,,1,1
11937373,1,2,7,7,0.21,-0.29,,,,,,
11937368,4,9,1,16,0.69,1.86,,,,,,
11937367,0,4,8,16,0.00,-0.01,,,,,,
11937369,2,4,6,9,-0.57,0.77,1,2,,,,
11937364,2,1,7,15,-1.92,-0.61,2,1,,,,
11937363,3,4,5,4,0.31,0.95,,,,,,
12420572,5,6,7,8,,,1,3,1,1,,
12420577,2,7,6,5,,,,,,,1,1
12420575,3,4,13,10,,,,,,,,
12404865,1,4,4,5,,,,,,,,
12404864,2,2,13,5,,,,,,,,
12420443,2,3,8,3,,,,,1,1,,
12420434,0,5,3,14,,,1,2,,,,
13010882,2,4,6,8,1.27,-0.58,,,,,,
13022403,3,2,8,8,0.23,-0.97,,,,,,
13010885,2,6,8,10,0.16,2.60,,,,,,
13010890,0,2,7,12,0.00,0.44,,,,,,
12468905,5,1,5,9,1.10,-2.05,,,,,,
12467660,4,4,7,5,,,1,2,,,,
12467662,4,2,4,11,,,,,1,1,,
12467655,3,7,2,3,,,,,,,,
12617262,3,7,3,8,,,,,,,,
12467661,3,1,20,6,,,,,,,,
12467658,6,4,4,9,,,1,3,,,,
12467664,4,3,8,7,,,2,1,1,1,1,1
12500376,2,6,5,10,,,,,1,2,,
12500363,3,4,3,11,,,1,1,,,,
12500379,3,1,2,7,,,2,2,,,,
12527732,1,3,14,3,,,3,2,,,,
12527736,4,3,15,8,,,,,,,,
12527738,5,6,5,8,,,3,2,1,2,,
12146528,2,3,12,10,,,,,,,,
12146523,2,2,10,9,,,,,,,,
12146524,0,2,11,8,,,,,,,,
12445047,5,7,6,7,,,1,1,1,1,,
12596621,0,4,7,11,,,,,,,,
12596615,1,2,4,8,,,1,1,,,,
12596618,2,4,6,8,,,,,,,2,1
12596617,1,5,4,10,,,1,4,1,2,,
12481094,3,1,5,4,,,,,,,,
12481098,4,1,6,4,,,,,,,,
12481103,2,2,7,6,,,,,,,,
12463967,4,1,19,10,,,,,,,,
12463970,4,2,6,10,,,,,,,,
13012918,1,8,1,9,,,,,,,,
13011712,2,3,7,8,,,,,,,,
13011728,3,3,7,7,,,,,,,1,1
13011718,6,1,10,4,,,,,,,,
12580708,1,4,7,9,,,,,,,,
12580604,6,5,15,12,,,,,,,,
12580707,1,3,6,12,,,,,,,,
12580607,1,3,10,9,,,,,,,1,1
12402296,6,2,9,5,,,,,1,1,,
12402294,1,4,8,10,,,,,,,,
12402304,2,4,3,11,,,,,,,,
12407828,3,2,7,8,,,1,1,,,1,2
12407829,2,2,9,4,,,,,,,,
12407826,3,2,9,8,,,,,,,,
12407827,3,6,5,5,,,,,1,1,,
12656652,3,3,6,12,,,1,1,,,,
12991466,1,0,10,4,,,,,,,,
12991503,1,5,9,9,,,,,,,,
12014196,1,4,8,8,,,,,,,,
12014204,1,4,8,10,,,,,,,,
