match_id,home_team,away_team,year,tournament,season,home_score,away_score
12437045,Chelsea,Newcastle United,24/25,Premier League,Premier League 24/25,3,3
12437046,Crystal Palace,Tottenham Hotspur,24/25,Premier League,Premier League 24/25,1,1
12437050,West Ham United,Manchester United,24/25,Premier League,Premier League 24/25,2,2
12437040,Arsenal,Liverpool,24/25,Premier League,Premier League 24/25,3,3
12437618,Leganés,Celta Vigo,24/25,LaLiga,LaLiga 24/25,4,4
12437607,Getafe,Valencia,24/25,LaLiga,LaLiga 24/25,1,1
12437613,Real Betis,Atlético Madrid,24/25,LaLiga,LaLiga 24/25,1,1
12437625,Real Sociedad,Osasuna,24/25,LaLiga,LaLiga 24/25,0,0
12437611,Mallorca,Athletic Club,24/25,LaLiga,LaLiga 24/25,1,1
12499340,Lazio,Genoa,24/25,Serie A,Serie A 24/25,4,4
12499341,Monza,Venezia,24/25,Serie A,Serie A 24/25,2,2
12499339,Inter,Juventus,24/25,Serie A,Serie A 24/25,4,4
12499338,Fiorentina,Roma,24/25,Serie A,Serie A 24/25,6,6
12499737,VfL Bochum 1848,FC Bayern München,24/25,Bundesliga,Bundesliga 24/25,0,0
12499734,1. FC Union Berlin,Eintracht Frankfurt,24/25,Bundesliga,Bundesliga 24/25,1,1
12499720,1. FC Heidenheim,TSG Hoffenheim,24/25,Bundesliga,Bundesliga 24/25,1,1
12451054,Olympique Lyonnais,Auxerre,24/25,Ligue 1,Ligue 1 24/25,2,2
12451055,Montpellier,Toulouse,24/25,Ligue 1,Ligue 1 24/25,1,1
12451051,Nice,AS Monaco,24/25,Ligue 1,Ligue 1 24/25,2,2
12451056,RC Strasbourg,Nantes,24/25,Ligue 1,Ligue 1 24/25,3,3
12451053,Olympique de Marseille,Paris Saint-Germain,24/25,Ligue 1,Ligue 1 24/25,1,1
12514052,Sporting Braga,SC Farense,24/25,Liga Portugal Betclic,Liga Portugal 24/25,3,3
12514051,Benfica,Rio Ave,24/25,Liga Portugal Betclic,Liga Portugal 24/25,5,5
12514055,CF Estrela Amadora,Vitória SC,24/25,Liga Portugal Betclic,Liga Portugal 24/25,3,3
12514057,AVS - Futebol SAD,FC Porto,24/25,Liga Portugal Betclic,Liga Portugal 24/25,0,0
12448395,FC Twente,Heracles Almelo,24/25,Eredivisie,Eredivisie 24/25,5,5
12448396,Ajax,Willem II Tilburg,24/25,Eredivisie,Eredivisie 24/25,2,2
12448394,AZ Alkmaar,Go Ahead Eagles,24/25,Eredivisie,Eredivisie 24/25,3,3
12117282,Cuiabá,Corinthians,2024,Brasileirão Série A,Brasileiro Serie A 2024,1,1
12117278,Vasco,Bahia,2024,Brasileirão Série A,Brasileiro Serie A 2024,4,4
12530882,Alanyaspor,Antalyaspor,24/25,Super Lig,Super Lig 24/25,1,1
12530878,Fenerbahçe,Bodrum,24/25,Super Lig,Super Lig 24/25,2,2
12530874,Başakşehir FK,Eyüpspor,24/25,Super Lig,Super Lig 24/25,1,1
12530880,Galatasaray,Beşiktaş,24/25,Super Lig,Super Lig 24/25,3,3
12421106,Club Brugge KV,RSC Anderlecht,24/25,First Division A,Pro League 24/25,2,2
12421110,Royal Antwerp FC,Standard Liège,24/25,First Division A,Pro League 24/25,3,3
12421108,KAA Gent,KRC Genk,24/25,First Division A,Pro League 24/25,1,1
12421107,Royale Union Saint-Gilloise,Cercle Brugge,24/25,First Division A,Pro League 24/25,1,1
12568248,Asteras Aktor,Olympiacos FC,24/25,Super League,Super League 24/25,2,2
12568249,Panathinaikos,Aris Thessaloniki,24/25,Super League,Super League 24/25,1,1
12568234,PAOK,OFI Crete,24/25,Super League,Super League 24/25,2,2
12568235,Athens Kallithea FC,Atromitos Athens,24/25,Super League,Super League 24/25,1,1
12477081,Hibernian,Heart of Midlothian,24/25,Premiership,Premiership 24/25,2,2
12477080,Motherwell,Celtic,24/25,Premiership,Premiership 24/25,0,0
12477079,Rangers,St. Mirren,24/25,Premiership,Premiership 24/25,3,3
12945333,FC Dinamo Minsk U19,Lokomotiva Zagreb U19,24/25,"UEFA Youth League, Knockout stage",UEFA Youth League 24/25,0,0
11937370,Platense,Argentinos Juniors,2024,Liga Profesional,Liga Profesional 2024,3,3
11937373,Banfield,Racing Club,2024,Liga Profesional,Liga Profesional 2024,2,2
