match_id,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_expected_goals,away_expected_goals,home_red_cards,away_red_cards
12437045,50%,50%,1,3,17,11,1,5,7,4,13,16,459,450,12,13,15,13,6,3,1.61,1.81,,
12437046,34%,66%,1,2,14,11,3,5,8,8,16,12,247,517,32,19,12,16,4,4,0.78,0.74,,
12437050,43%,57%,4,5,12,18,4,1,6,5,6,7,393,538,11,19,6,6,5,1,3.00,2.34,,
12437040,45%,55%,2,2,9,9,2,1,1,3,14,14,383,466,17,16,14,14,2,2,0.92,0.81,,
12437618,39%,61%,3,0,7,18,5,1,4,2,15,17,363,587,17,13,17,15,2,2,1.62,0.92,,
12437607,64%,36%,5,1,15,2,0,4,8,2,20,20,389,232,12,20,18,17,3,7,2.26,0.60,,
12437613,42%,58%,4,1,24,10,3,3,3,10,8,4,380,533,21,9,4,8,3,2,1.94,0.54,,
12437625,75%,25%,2,1,19,10,2,9,14,4,7,14,584,199,14,13,13,6,3,4,1.65,0.98,,
12437611,33%,67%,1,0,4,20,1,1,1,14,9,12,272,537,20,18,12,8,5,1,0.61,0.59,1,0
12499340,61%,39%,5,0,18,6,2,2,7,4,12,6,552,353,13,19,6,11,3,1,2.18,0.27,,
12499341,46%,54%,1,1,13,6,,,4,3,17,16,347,415,20,10,16,17,4,2,1.14,0.48,1,0
12499339,47%,53%,3,3,18,10,1,5,13,5,11,16,384,444,7,6,16,11,2,2,2.99,2.17,,
12499338,39%,61%,5,0,21,14,4,6,6,2,13,11,344,547,18,8,11,13,2,5,3.73,0.65,0,1
12499737,28%,72%,1,6,6,19,5,1,2,6,15,6,274,742,17,9,6,15,1,1,0.56,2.20,,
12499734,49%,51%,4,1,13,17,4,3,4,5,13,7,448,491,19,15,7,13,5,3,1.45,1.81,0,1
12499720,47%,53%,3,3,17,12,4,3,7,3,12,16,380,444,23,23,16,11,1,2,1.57,0.70,,
12451054,63%,37%,4,2,12,19,3,7,5,5,7,15,542,306,20,21,14,7,0,4,2.05,1.54,,
12451055,52%,48%,0,5,9,15,3,2,1,3,8,20,484,467,14,16,19,7,1,2,0.21,1.88,1,0
12451051,40%,60%,3,1,17,11,4,7,6,6,16,11,313,477,28,26,11,16,2,5,1.63,0.40,0,1
12451056,51%,49%,3,1,9,8,5,2,5,4,15,17,486,478,11,21,17,12,2,3,1.73,0.76,,
12451053,25%,75%,1,7,5,19,6,1,1,2,4,7,307,916,16,21,7,3,1,0,0.22,3.10,1,0
12514052,72%,28%,4,0,18,4,2,4,10,3,12,12,665,257,13,14,12,12,1,2,3.35,0.20,,
12514051,62%,38%,4,0,29,4,0,8,8,2,12,10,527,333,17,25,9,12,1,1,2.38,0.19,,
12514055,39%,61%,2,3,7,10,1,0,3,4,17,18,279,443,23,16,15,17,2,3,1.24,1.51,,
12514057,41%,59%,0,5,5,12,2,1,2,3,8,11,424,610,20,16,11,8,2,1,0.18,2.45,,
12448395,62%,38%,2,1,21,4,1,5,5,2,11,12,567,350,18,8,12,10,,,2.68,0.47,,
12448396,61%,39%,4,1,11,3,2,5,4,1,10,11,712,469,10,17,11,9,1,0,1.87,0.47,,
12448394,58%,42%,1,2,13,10,1,4,4,6,9,6,616,432,12,8,5,9,3,2,1.93,1.25,,
12117282,56%,44%,0,2,13,9,2,5,5,2,14,16,443,351,14,21,14,13,5,2,0.33,1.26,,
12117278,48%,52%,3,5,15,12,5,5,2,4,11,9,448,479,27,23,9,11,3,2,1.86,1.91,,
12530882,53%,47%,2,2,16,6,1,1,7,3,10,13,433,394,19,19,12,8,2,1,1.22,1.11,,
12530878,66%,34%,4,0,19,8,1,3,9,1,15,8,572,305,20,17,6,15,2,1,1.58,0.43,,
12530874,64%,36%,3,1,13,9,3,4,8,5,14,11,506,294,12,18,9,14,2,1,1.66,0.53,,
12530880,39%,61%,3,1,20,8,1,4,8,5,21,13,270,443,24,16,13,19,4,3,1.99,0.59,,
12421106,54%,46%,5,2,20,7,1,7,8,2,9,13,503,426,15,10,13,8,0,3,3.02,0.79,,
12421110,47%,53%,4,0,15,12,3,2,2,4,16,11,473,528,28,10,11,15,2,2,2.52,0.92,,
12421108,41%,59%,2,3,5,17,1,0,1,6,13,15,389,561,24,22,14,12,2,2,0.49,2.48,,
12421107,61%,39%,4,3,18,7,1,5,8,9,9,12,425,272,22,23,12,9,2,3,1.68,1.79,,
12568248,26%,74%,4,2,9,22,5,2,3,8,11,5,209,567,10,10,4,10,4,1,,,,
12568249,59%,41%,2,0,15,10,0,4,5,2,11,12,523,370,15,24,12,11,2,3,,,,
12568234,58%,42%,2,2,21,15,3,5,5,4,14,17,444,316,15,11,17,13,4,4,,,,
12568235,56%,44%,2,2,11,19,4,3,4,7,20,12,407,316,16,12,10,19,2,4,,,,
