match_id,home_accurate_passes,away_accurate_passes,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_throw-ins,away_throw-ins,home_final_third_phase,away_final_third_phase
12437045,388,362,65,64,26/62 (42%),26/56 (46%),5/20 (25%),6/11 (55%),12,21,115/146 (79%),76/122 (62%)
12437046,159,419,65,52,24/65 (37%),24/45 (53%),6/29 (21%),5/28 (18%),13,18,81/137 (59%),98/135 (73%)
12437050,318,451,42,67,24/41 (59%),25/48 (52%),6/23 (26%),6/24 (25%),14,24,79/118 (67%),120/159 (75%)
12437040,306,387,41,52,21/46 (46%),20/61 (33%),3/13 (23%),3/24 (13%),15,20,98/132 (74%),117/144 (81%)
12437618,276,493,66,56,27/70 (39%),15/33 (45%),2/21 (10%),2/8 (25%),13,27,57/101 (56%),128/161 (80%)
12437607,300,124,80,55,22/58 (38%),23/74 (31%),11/36 (31%),0/6 (0%),32,21,86/133 (65%),25/70 (36%)
12437613,300,415,46,52,33/68 (49%),37/62 (60%),6/17 (35%),5/24 (21%),20,26,83/125 (66%),63/111 (57%)
12437625,514,128,70,43,26/45 (58%),27/63 (43%),9/40 (23%),2/8 (25%),19,15,141/183 (77%),35/68 (51%)
12437611,192,457,45,75,36/74 (49%),25/45 (56%),5/8 (63%),9/32 (28%),10,19,37/66 (56%),159/202 (79%)
12499340,487,277,41,44,26/44 (59%),27/46 (59%),9/24 (38%),3/14 (21%),15,19,109/142 (77%),42/80 (53%)
12499341,273,335,42,53,28/55 (51%),23/48 (48%),9/23 (39%),5/15 (33%),16,24,66/102 (65%),68/100 (68%)
12499339,328,391,42,44,18/37 (49%),47/62 (76%),5/21 (24%),2/12 (17%),8,12,63/91 (69%),79/102 (77%)
12499338,303,503,35,51,22/36 (61%),24/33 (73%),6/14 (43%),2/17 (12%),5,10,71/93 (76%),111/139 (80%)
12499737,188,669,38,57,24/65 (37%),21/36 (58%),1/10 (10%),4/16 (25%),13,16,28/61 (46%),140/173 (81%)
12499734,332,379,70,45,24/70 (34%),26/92 (28%),5/21 (24%),4/10 (40%),17,28,70/126 (56%),47/80 (59%)
12499720,289,355,49,66,27/56 (48%),24/54 (44%),2/18 (11%),3/15 (20%),25,21,58/86 (67%),113/166 (68%)
12451054,460,235,78,44,18/43 (42%),32/64 (50%),5/22 (23%),9/22 (41%),21,22,115/170 (68%),56/87 (64%)
